a-150 tissue-equivalent plastic,,,,,,,,
1.127000,zaid,w-p,a-f,,,,,
polyvinylidene chloride,,,,,,,,
1.7,,,,,,,,
H,1001,0.020793,0.333317,,,,,
C,6000,0.247793,0.333346,,,,,
Cl,17000,0.731413,0.333337,,,,,
,,,,,,,,
rubber butyl,,,,,,,,
0.92,,,,,,,,
H,1001,0.143711,0.666653,,,,,
C,6000,0.856289,0.333347,,,,,
,,,,,,,,
rubber natural,,,,,,,,
0.92,,,,,,,,
H,1001,0.118371,0.61537,,,,,
C,6000,0.881629,0.38463,,,,,
,,,,,,,,
rubber neoprene,,,,,,,,
1.23,,,,,,,,
H,1001,0.05692,0.499985,,,,,
C,6000,0.542646,0.400014,,,,,
Cl,17000,0.400434,0.100001,,,,,
,,,,,,,,
rubber silicon,,,,,,,,
1.0185,,,,,,,,
H,1001,0.080716,0.597039,,,,,
C,6000,0.321164,0.199359,,,,,
O,8016,0.223545,0.104169,,,,,
Si,14000,0.374575,0.099434,,,,,
,,,,,,,,
sepiolite,,,,,,,,
2.14,,,,,,,,
H,1001,0.021782,0.297872,,,,,
O,8016,0.568029,0.489362,,,,,
Mg,12000,0.15007,0.085106,,,,,
Si,14000,0.260119,0.12766,,,,,
,,,,,,,,
silicon,,,,,,,,
2.33,,,,,,,,
Si,14000,1,1,,,,,
,,,,,,,,
silicon carbide hexagonal,,,,,,,,
3.21,,,,,,,,
C,6000,0.299547,0.5,,,,,
Si,14000,0.700453,0.5,,,,,
,,,,,,,,
silicon dioxide alpha quartz,,,,,,,,
2.648,,,,,,,,
O,8016,0.532565,0.666667,,,,,
Si,14000,0.467435,0.333333,,,,,
,,,,,,,,
silicon dioxide silica,,,,,,,,
2.32,,,,,,,,
O,8016,0.532565,0.666667,,,,,
Si,14000,0.467435,0.333333,,,,,
,,,,,,,,
silver,,,,,,,,
10.5,,,,,,,,
Ag,47000,1,1,,,,,
,,,,,,,,
sodium chloride,,,,,,,,
2.17,,,,,,,,
Na,11023,0.393372,0.5,,,,,
Cl,17000,0.606628,0.5,,,,,
,,,,,,,,
sodium iodide,,,,,,,,
3.667,,,,,,,,
Na,11023,0.153373,0.499999,,,,,
I,53127,0.846627,0.500001,,,,,
,,,,,,,,
sodium nitrate,,,,,,,,
2.261,,,,,,,,
N,7014,0.164795,0.2,,,,,
O,8016,0.56472,0.6,,,,,
Na,11023,0.270485,0.2,,,,,
,,,,,,,,
sodium oxide,,,,,,,,
2.27,,,,,,,,
O,8016,0.258143,0.333333,,,,,
Na,11023,0.741857,0.666667,,,,,
,,,,,,,,
steel boron stainless,,,,,,,,
7.87,,,,,,,,
B,5000,0.01,0.048827,,,,,
C,6000,0.000396,0.00174,,,,,
Si,14000,0.00495,0.009304,,,,,
P,15031,0.000228,0.000388,,,,,
S,16000,0.000149,0.000244,,,,,
Cr,24000,0.1881,0.19096,,,,,
Mn,25055,0.0099,0.009512,,,,,
Fe,26000,0.694713,0.656666,,,,,
Ni,28000,0.091575,0.082359,,,,,
,,,,,,,,
steel carbon,,,,,,,,
7.82,,,,,,,,
C,6000,0.005,0.022831,,,,,
Fe,26000,0.995,0.977169,,,,,
,,,,,,,,
steel stainless 202,,,,,,,,
7.86,,,,,,,,
C,6000,0.00075,0.003405,,,,,
N,7014,0.00125,0.004866,,,,,
Si,14000,0.005,0.009708,,,,,
P,15031,0.0003,0.000528,,,,,
S,16000,0.00015,0.000255,,,,,
Cr,24000,0.18,0.188773,,,,,
Mn,25055,0.0875,0.086851,,,,,
Fe,26000,0.67505,0.65916,,,,,
Ni,28000,0.05,0.046454,,,,,
,,,,,,,,
steel stainless 302,,,,,,,,
7.86,,,,,,,,
C,6000,0.0014,0.006356,,,,,
Si,14000,0.0093,0.018057,,,,,
P,15031,0.00042,0.000739,,,,,
S,16000,0.00028,0.000476,,,,,
Cr,24000,0.18,0.188773,,,,,
Mn,25055,0.0186,0.018462,,,,,
Fe,26000,0.7,0.68352,,,,,
Ni,28000,0.09,0.083616,,,,,
,,,,,,,,
steel stainless 304,,,,,,,,
8,,,,,,,,
C,6000,0.0004,0.00183,,,,,
Si,14000,0.005,0.009781,,,,,
P,15031,0.00023,0.000408,,,,,
S,16000,0.00015,0.000257,,,,,
Cr,24000,0.19,0.200762,,,,,
Mn,25055,0.01,0.010001,,,,,
Fe,26000,0.70173,0.690375,,,,,
Ni,28000,0.0925,0.086587,,,,,
,,,,,,,,
steel stainless 304l,,,,,,,,
8,,,,,,,,
C,6000,0.00015,0.000687,,,,,
Si,14000,0.005,0.009793,,,,,
P,15031,0.00023,0.000408,,,,,
S,16000,0.00015,0.000257,,,,,
Cr,24000,0.19,0.201015,,,,,
Mn,25055,0.01,0.010013,,,,,
Fe,26000,0.69448,0.684101,,,,,
Ni,28000,0.1,0.093725,,,,,
,,,,,,,,
steel stainless 316,,,,,,,,
8,,,,,,,,
C,6000,0.00041,0.0019,,,,,
Si,14000,0.00507,0.010048,,,,,
P,15031,0.00023,0.000413,,,,,
S,16000,0.00015,0.00026,,,,,
Cr,24000,0.17,0.181986,,,,,
Mn,25055,0.01014,0.010274,,,,,
Fe,26000,0.669,0.666811,,,,,
Ni,28000,0.12,0.113803,,,,,
Mo,42000,0.025,0.014504,,,,,
,,,,,,,,
steel stainless 316l,,,,,,,,
8,,,,,,,,
C,6000,0.0003,0.001384,,,,,
Si,14000,0.01,0.019722,,,,,
P,15031,0.00045,0.000805,,,,,
S,16000,0.0003,0.000518,,,,,
Cr,24000,0.17,0.181098,,,,,
Mn,25055,0.02,0.020165,,,,,
Fe,26000,0.65395,0.648628,,,,,
Ni,28000,0.12,0.113247,,,,,
Mo,42000,0.025,0.014434,,,,,
,,,,,,,,
steel stainless 321,,,,,,,,
8,,,,,,,,
C,6000,0.0008,0.00364,,,,,
Si,14000,0.01,0.019457,,,,,
P,15031,0.00045,0.000794,,,,,
S,16000,0.0003,0.000511,,,,,
Ti,22000,0.0015,0.001712,,,,,
Cr,24000,0.18,0.189171,,,,,
Mn,25055,0.02,0.019893,,,,,
Fe,26000,0.67695,0.662408,,,,,
Ni,28000,0.11,0.102413,,,,,
,,,,,,,,
steel stainless 347,,,,,,,,
8,,,,,,,,
C,6000,0.0008,0.003659,,,,,
Si,14000,0.01,0.019559,,,,,
P,15031,0.00045,0.000798,,,,,
S,16000,0.0003,0.000514,,,,,
Cr,24000,0.17,0.179602,,,,,
Mn,25055,0.02,0.019998,,,,,
Fe,26000,0.68045,0.669338,,,,,
Ni,28000,0.11,0.102952,,,,,
Nb,41093,0.004,0.002365,,,,,
Ta,73181,0.004,0.001214,,,,,
,,,,,,,,
steel stainless 409,,,,,,,,
7.8,,,,,,,,
C,6000,0.00079,0.003591,,,,,
Si,14000,0.00983,0.019108,,,,,
P,15031,0.00044,0.000776,,,,,
S,16000,0.00044,0.000749,,,,,
Ti,22000,0.00737,0.008406,,,,,
Cr,24000,0.1113,0.116862,,,,,
Mn,25055,0.00983,0.009769,,,,,
Fe,26000,0.86,0.84074,,,,,
,,,,,,,,
steel stainless 440,,,,,,,,
7.8,,,,,,,,
C,6000,0.00675,0.030406,,,,,
Si,14000,0.0065,0.012521,,,,,
P,15031,0.00026,0.000454,,,,,
S,16000,0.0002,0.000337,,,,,
Cr,24000,0.17,0.176887,,,,,
Mn,25055,0.0065,0.006401,,,,,
Fe,26000,0.79505,0.770242,,,,,
Mo,42000,0.00488,0.002752,,,,,
,,,,,,,,
tantalum,,,,,,,,
16.654,,,,,,,,
Ta,73181,1,1,,,,,
,,,,,,,,
tin,,,,,,,,
7.31,,,,,,,,
Sn,50000,1,1,,,,,
